     0.000	    5.8000	    3.2000	     2.600
     0.100	    5.8000	    3.2000	     2.600
     0.200	    5.8000	    3.2000	     2.600
     0.300	    5.8000	    3.2000	     2.600
     0.400	    5.8000	    3.2000	     2.600
     0.500	    5.8000	    3.2000	     2.600
     0.600	    5.8000	    3.2000	     2.600
     0.700	    5.8000	    3.2000	     2.600
     0.800	    5.8000	    3.2000	     2.600
     0.900	    5.8000	    3.2000	     2.600
     1.000	    5.8000	    3.2000	     2.600
     1.100	    5.8000	    3.2000	     2.600
     1.200	    5.8000	    3.2000	     2.600
     1.300	    5.8000	    3.2000	     2.600
     1.400	    5.8000	    3.2000	     2.600
     1.500	    5.8000	    3.2000	     2.600
     1.600	    5.8000	    3.2000	     2.600
     1.700	    5.8000	    3.2000	     2.600
     1.800	    5.8000	    3.2000	     2.600
     1.900	    5.8000	    3.2000	     2.600
     2.000	    5.8000	    3.2000	     2.600
     2.100	    5.8000	    3.2000	     2.600
     2.200	    5.8000	    3.2000	     2.600
     2.300	    5.8000	    3.2000	     2.600
     2.400	    5.8000	    3.2000	     2.600
     2.500	    5.8000	    3.2000	     2.600
     2.600	    5.8000	    3.2000	     2.600
     2.700	    5.8000	    3.2000	     2.600
     2.800	    5.8000	    3.2000	     2.600
     2.900	    5.8000	    3.2000	     2.600
     3.000	    5.8000	    3.2000	     2.600
     3.100	    5.8000	    3.2000	     2.600
     3.200	    5.8000	    3.2000	     2.600
     3.300	    5.8000	    3.2000	     2.600
     3.400	    5.8000	    3.2000	     2.600
     3.500	    5.8000	    3.2000	     2.600
     3.600	    5.8000	    3.2000	     2.600
     3.700	    5.8000	    3.2000	     2.600
     3.800	    5.8000	    3.2000	     2.600
     3.900	    5.8000	    3.2000	     2.600
     4.000	    5.8000	    3.2000	     2.600
     4.100	    5.8000	    3.2000	     2.600
     4.200	    5.8000	    3.2000	     2.600
     4.300	    5.8000	    3.2000	     2.600
     4.400	    5.8000	    3.2000	     2.600
     4.500	    5.8000	    3.2000	     2.600
     4.600	    5.8000	    3.2000	     2.600
     4.700	    5.8000	    3.2000	     2.600
     4.800	    5.8000	    3.2000	     2.600
     4.900	    5.8000	    3.2000	     2.600
     5.000	    5.8000	    3.2000	     2.600
